s,k,E,N,phi,r,V,beta,delta_cmd,wheel_torque_cmd,rear_wr,e_min,e_max
12.885114,0.290311,-4.389813,2.273973,1.521408,1.397829,4.814938,0.000000,0.075338,0.000000,4.814938,-0.480000,0.360000
12.984998,0.293072,-4.489638,2.277454,1.550508,1.391280,4.747233,0.000000,0.076052,0.000000,4.747233,-0.520000,0.300000
13.084883,0.299227,-4.589521,2.278011,1.580056,1.399506,4.677066,0.000000,0.077643,0.000000,4.677066,-0.560000,0.260000
13.184767,0.306891,-4.689376,2.275581,1.610320,1.413200,4.604888,0.000000,0.079623,0.000000,4.604888,-0.580000,0.220000
13.284652,0.316300,-4.789109,2.270090,1.641426,1.433225,4.531228,0.000000,0.082053,0.000000,4.531228,-0.620000,0.220000
13.384537,0.327427,-4.888618,2.261451,1.673564,1.459200,4.456573,0.000000,0.084926,0.000000,4.456573,-0.660000,0.200000
13.484421,0.341251,-4.987792,2.249559,1.706944,1.495338,4.381936,0.000000,0.088493,0.000000,4.381936,-0.680000,0.180000
13.584306,0.358777,-5.086501,2.234289,1.741901,1.545978,4.309027,0.000000,0.093013,0.000000,4.309027,-0.680000,0.180000
13.684190,0.374596,-5.184601,2.215495,1.778522,1.587046,4.236694,0.000000,0.097089,0.000000,4.236694,-0.700000,0.160000
13.784075,0.390714,-5.281929,2.193044,1.816764,1.627226,4.164748,0.000000,0.101238,0.000000,4.164748,-0.740000,0.140000
13.883960,0.404429,-5.378306,2.166814,1.856510,1.654641,4.091302,0.000000,0.104767,0.000000,4.091302,-0.760000,0.160000
13.983844,0.416690,-5.473546,2.136714,1.897512,1.672936,4.014818,0.000000,0.107919,0.000000,4.014818,-0.800000,0.160000
14.083729,0.431881,-5.567451,2.102675,1.939840,1.699897,3.936029,0.000000,0.111821,0.000000,3.936029,-0.820000,0.160000
14.183613,0.455213,-5.659798,2.064613,1.984036,1.756436,3.858488,0.000000,0.117807,0.000000,3.858488,-0.880000,0.160000
14.283498,0.485364,-5.750316,2.022390,2.030972,1.837547,3.785919,0.000000,0.125531,0.000000,3.785919,-0.940000,0.180000
14.383383,0.514482,-5.838683,1.975832,2.080941,1.913084,3.718465,0.000000,0.132976,0.000000,3.718465,-1.000000,0.180000
14.483267,0.535453,-5.924545,1.924805,2.133429,1.954837,3.650807,0.000000,0.138329,0.000000,3.650807,-1.120000,0.180000
14.583152,0.552943,-6.007558,1.869263,2.187797,1.979258,3.579497,0.000000,0.142787,0.000000,3.579497,-1.160000,0.200000
